Employee ID,Attendance Date,Clock In Time,Clock In Time
1,03/05/2018,09:29:08,11:29:08
2,04/05/2018,09:30:08,11:20:08
3,05/05/2018,09:31:08,11:11:08
4,06/05/2018,09:32:08,11:02:08
5,07/05/2018,09:33:08,10:53:08
6,08/05/2018,09:34:08,10:44:08
7,09/05/2018,09:35:08,10:35:08
8,10/05/2018,09:36:08,10:26:08
9,11/05/2018,09:37:08,10:17:08
10,12/05/2018,09:38:08,10:08:08
11,13/05/2018,09:39:08,09:59:08
12,14/05/2018,09:40:08,09:50:08
13,15/05/2018,09:41:08,09:41:08
14,16/05/2018,09:42:08,09:32:08
15,17/05/2018,09:43:08,09:23:08
